iter	Passed	Remaining
0	219	218965
1	220	110167
2	221	73774
3	223	55533
4	224	44590
5	225	37299
6	226	32143
7	227	28249
8	228	25212
9	230	22781
10	231	20811
11	232	19151
12	233	17757
13	235	16556
14	236	15508
15	237	14580
16	237	13760
17	238	13026
18	240	12395
19	241	11812
20	241	11281
21	243	10802
22	244	10365
23	245	9965
24	246	9599
25	247	9263
26	248	8942
27	249	8646
28	250	8370
29	250	8111
30	251	7869
31	252	7642
32	253	7436
33	255	7245
34	256	7062
35	257	6893
36	258	6737
37	260	6585
38	261	6444
39	262	6308
40	264	6178
41	264	6044
42	265	5919
43	267	5803
44	268	5694
45	269	5591
46	270	5494
47	272	5400
48	273	5302
49	274	5207
50	275	5118
51	276	5044
52	278	4968
53	278	4887
54	279	4810
55	281	4740
56	282	4674
57	284	4612
58	285	4551
59	286	4488
60	287	4431
61	288	4371
62	290	4315
63	291	4262
64	292	4213
65	294	4163
66	295	4111
67	296	4058
68	296	4007
69	298	3961
70	299	3919
71	300	3878
72	302	3835
73	303	3797
74	304	3757
75	305	3718
76	306	3679
77	308	3640
78	309	3604
79	310	3568
80	311	3531
81	312	3500
82	313	3462
83	314	3429
84	315	3400
85	317	3371
86	318	3341
87	319	3313
88	321	3287
89	322	3260
90	323	3232
91	324	3204
92	325	3176
93	326	3149
94	328	3127
95	329	3103
96	330	3078
97	331	3054
98	333	3031
99	334	3007
100	335	2986
101	337	2969
102	338	2948
103	339	2927
104	340	2904
105	342	2884
106	343	2866
107	344	2847
108	346	2828
109	347	2808
110	348	2789
111	349	2770
112	350	2752
113	352	2735
114	353	2718
115	354	2700
116	355	2682
117	356	2667
118	359	2664
119	361	2649
120	362	2632
121	363	2615
122	365	2602
123	366	2590
124	368	2576
125	369	2562
126	370	2545
127	371	2530
128	372	2516
129	373	2502
130	375	2489
131	376	2475
132	377	2461
133	378	2449
134	380	2437
135	381	2424
136	382	2412
137	384	2400
138	385	2388
139	386	2376
140	388	2365
141	389	2352
142	390	2341
143	391	2330
144	393	2318
145	394	2308
146	395	2297
147	397	2287
148	398	2277
149	400	2266
150	401	2256
151	403	2248
152	404	2238
153	405	2228
154	406	2218
155	408	2208
156	409	2201
157	411	2191
158	412	2180
159	413	2171
160	414	2159
161	415	2149
162	416	2139
163	418	2131
164	419	2121
165	420	2112
166	421	2103
